AIMT,"Aimmune Therapeutics, Inc.",20.92,$883.86M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,NASDAQ
AIRM,Air Methods Corporation,45.37,$1.78B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,NASDAQ
AIRT,"Air T, Inc.",24,$56.94M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,NASDAQ
ATSG,"Air Transport Services Group, Inc",9.55,$614.63M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,NASDAQ
AMCN,AirMedia Group Inc,5.5,$351.07M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,NASDAQ
AIXG,Aixtron SE,7.96,$888.15M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,NASDAQ
AKAM,"Akamai Technologies, Inc.",57.66,$10.26B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,NASDAQ
AKTX,Akari Therapeutics Plc,19.19,$226M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",10.22,$313.06M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,NASDAQ
AKER,Akers Biosciences Inc,1.93,$9.93M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,NASDAQ
AKRX,"Akorn, Inc.",34.55,$3.95B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",18.06,$823.07M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",1.94,$97.81M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,NASDAQ
AMRI,"Albany Molecular Research, Inc.",20.26,$719.27M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,NASDAQ
ABDC,Alcentra Capital Corp.,12.22,$165.17M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,NASDAQ
